# Station: CNEOS,,
# Time (s), Height (km), Abs Magnitude
3.0000,22.7847,-15.04
2.979466,22.76512,-15.34
2.9908,22.63948, -15.28
3.0333,22.4356,-14.89
3.0326,22.20812, -14.86
3.0667,22.1286,-14.53
3.0743,21.85939, -14.61
3.1000,21.8309,-14.32
3.1333,21.5306,-14.57
3.1161,21.38155, -13.66
3.1667,21.2332,-14.20
3.1579,21.13037, -14.46
3.2000,20.9791,-14.28
3.1997,20.75602, -13.92
3.2333,20.6948,-13.88
3.2415,20.50522, -14.20
3.2667,20.4657,-14.17
3.2833,20.23952, -14.43
3.3000,20.2264,-13.93
3.3333,20.0088,-13.71
3.3250,19.92316, -14.36
3.3667,19.7893,-13.52
3.3668,19.66709, -13.85
3.4085,19.51442, -12.67
3.4333,19.3639,-13.43
3.4503,19.15064, -13.22
3.4667,19.1434,-13.22
3.5000,18.9212,-12.94
3.4920,18.81417, -12.42
3.5333,18.7569,-12.70
3.5337,18.65732, -13.08
3.5667,18.5985,-12.63
3.5755,18.42261, -12.10
3.6000,18.4052,-12.49
3.6333,18.235,-12.36
3.6172,18.20224, -11.82
3.6589,18.01566, -10.87
3.7007,17.71295, -11.86
