a,e,i,peri,node,M
0.810842,0.606483,0.761507,324.451126,95.27935,276.835938
1.30622,0.697348,0.965439,241.137055,256.659292,33.490586
1.731642,0.420944,3.645532,352.995226,211.415967,2.617788
2.760912,0.718933,3.744443,62.629999,202.656483,351.471547
2.256541,0.631174,11.094499,235.474099,13.936686,348.94134
1.466283,0.567917,1.441864,269.59801,187.340249,28.880608
0.969573,0.436538,10.127677,119.170239,183.17454,291.262862
2.235996,0.597348,9.404164,221.458749,350.986559,351.033687
0.837971,0.407101,30.705123,44.085719,328.153905,95.14407
1.206163,0.239458,5.775925,230.352313,318.72964,328.466409
4.056265,0.784549,13.221611,41.982694,129.848544,356.588476
1.360554,0.284098,35.124674,343.06669,110.577836,9.109665
1.532943,0.545994,20.083162,279.91945,97.314003,25.366883
0.805863,0.254969,26.93461,23.338358,268.992212,142.686942
1.222636,0.281471,27.533511,239.916995,246.423774,325.048491
2.295701,0.713815,10.328498,258.779967,235.21387,347.573267
1.164446,0.363693,3.933279,92.365221,207.964557,47.368167
2.305825,0.581661,40.876819,156.185547,206.554155,5.234056
1.713935,0.434331,29.566516,153.353994,186.222958,9.675453
1.799519,0.439913,7.59295,358.986785,344.053157,0.356691
2.134689,0.524641,11.153173,176.801377,126.370539,0.843344
1.716275,0.474966,4.183911,229.634718,103.122918,343.083184
-6.589468,1.110545,5.74519,298.190418,225.603855,
1.385349,0.312469,10.014179,37.872751,203.083038,340.490347
1.481095,0.400702,2.405282,127.387085,12.904496,22.362573
2.497356,0.606228,18.971885,12.419059,165.704411,357.565192
1.248508,0.347397,33.703028,72.101194,164.917,322.318723
1.695788,0.426841,3.715588,198.225745,321.16157,353.308379
1.556474,0.369739,4.90194,190.569552,313.487587,355.468961
1.737156,0.489446,0.132057,313.744262,131.57565,14.728087
2.345127,0.588442,2.802155,341.036942,129.696973,4.026118
6.046145,0.837439,18.289531,355.272768,124.250442,0.228682
2.281091,0.569453,7.307381,184.621396,278.303829,358.959171
0.978201,0.103906,19.073149,278.826505,277.159971,273.062377
2.096342,0.534773,5.90039,192.681963,271.291749,356.73647
1.753473,0.488557,14.149856,224.693466,225.647179,345.654879
1.63056,0.535788,3.782865,71.537973,33.38455,337.803955
2.676254,0.649754,11.586749,148.534489,209.496768,5.287672
2.078335,0.581373,6.694291,49.035853,25.240394,348.404117
1.075965,0.103448,4.99734,234.979005,175.596572,314.294731
4.206334,0.833712,0.776174,250.917838,157.610174,355.363204
0.949582,0.069815,2.701389,170.212686,310.482537,191.304995
1.22741,0.417588,14.87003,89.546227,110.167715,43.904945
1.948188,0.480095,12.692354,183.213328,66.617458,359.003968
1.338539,0.335159,28.546172,55.309919,186.487687,331.909664
1.360522,0.27631,29.130476,345.163375,164.453129,8.125537
1.442697,0.593545,8.003252,84.523424,338.993927,29.241922
1.478356,0.832596,1.627902,310.472323,321.427266,337.27413
1.61105,0.477903,20.759969,123.318061,306.461936,19.629967
5.071649,0.834736,11.134911,132.349721,303.645922,2.640667
1.680735,0.739321,7.704332,287.783633,300.955153,339.175872
3.508928,0.721732,7.02606,10.786224,116.967576,358.785604
1.760773,0.442395,5.117943,6.282228,115.428988,357.818862
1.449965,0.60798,9.426499,276.704729,269.14035,331.492184
0.874533,0.419859,13.500741,50.259404,258.413428,84.508691
1.289458,0.293316,0.606109,228.531485,245.949053,333.274556
6.811448,0.89642,3.351059,113.447926,245.631652,2.048746
2.068859,0.521146,42.066932,355.964713,42.477225,1.084602
1.341754,0.355947,4.747202,240.848124,196.805992,330.111397
0.981335,0.211157,30.311827,252.235387,4.748326,83.72786
0.959547,0.33348,9.662123,242.848333,351.13508,79.442758
1.080547,0.12416,12.824107,297.404062,349.736635,50.517183
2.374261,0.639791,7.038746,307.960812,349.189909,9.839226
1.638258,0.513535,5.213648,67.309871,348.775636,338.091947
2.025159,0.515257,1.991376,23.93735,330.73242,353.319387
1.143583,0.167339,17.109631,125.713138,143.436434,39.822807
2.457309,0.617014,1.960266,143.717353,120.543201,7.104511
0.778422,0.989793,157.436319,5.94881,98.356296,54.081098
2.43283,0.595273,0.203634,24.449349,270.045794,355.088483
1.290232,0.373296,9.784011,284.987635,243.510866,37.347393
1.172641,0.147528,2.495142,25.269065,239.881228,341.33462
1.503394,0.419305,1.651831,57.657415,238.005029,336.301592
0.944187,0.071724,1.783876,204.071051,212.128532,152.497677
1.879986,0.482519,15.074634,155.20559,24.24481,7.735644
0.835776,0.233571,27.164587,334.227228,16.144601,219.527397
1.21401,0.248508,18.806196,305.498104,177.922699,33.751881
1.720658,0.430106,10.511981,17.49098,174.362725,353.651388
2.03295,0.655639,4.943838,105.2943,329.179667,15.063514
1.201577,0.37619,9.714674,277.154503,132.336224,42.493638
1.016893,0.074529,2.549885,291.724734,121.804242,60.497571
2.070016,0.571743,6.578368,316.759039,91.848151,10.375645
3.945717,0.75922,47.714695,203.030451,266.752352,357.899682
2.277975,0.626902,3.337975,129.599784,238.073117,9.994778
6.295598,0.853512,9.65576,148.678644,235.239579,1.351969
0.744408,0.430778,2.623665,156.10601,11.458059,231.996561
1.124867,0.168073,9.669025,237.669939,181.648762,317.509799
1.281517,0.353129,11.426714,108.167214,153.630092,36.998636
2.362311,0.73394,11.255568,275.730883,302.629994,12.552932
1.855322,0.457485,9.790569,165.634385,94.847047,4.779042
0.846671,0.21187,17.553871,344.555677,89.414674,203.038107
1.329002,0.415504,4.4217,258.26661,71.895866,324.316916
1.174312,0.144565,1.969653,166.537021,42.681089,9.899114
1.112454,0.238152,10.68282,79.329178,211.071378,306.409799
1.283547,0.220697,32.189204,347.765951,209.215207,7.639844
,,,,,
2.248418,0.560339,3.119764,2.634186,152.107903,359.386938
2.293745,0.595741,10.177657,212.641175,312.343946,353.079654
2.344897,0.731715,2.46347,98.462812,294.610779,11.978814
2.513209,0.614811,26.606791,196.439735,286.266592,356.875025
3.06073,0.873998,1.895374,287.734749,263.478938,352.487014
1.087911,0.093885,2.529381,345.766921,56.832737,11.716173
1.871837,0.494259,16.173844,211.388506,210.17768,350.449656
2.266414,0.591031,4.24247,324.127007,21.766427,7.818478
1.996012,0.520126,6.843551,331.201469,11.206837,7.997366
2.063504,0.538658,3.355029,147.170086,162.64759,8.609643
1.063105,0.047107,25.497138,200.403916,120.360535,341.413867
0.940863,0.290108,1.995681,58.268921,111.013991,90.108411
1.235692,0.354252,3.634704,259.720243,98.792428,317.603688
1.182306,0.665044,0.641252,238.504821,271.922417,40.573737
1.132567,0.257256,3.357993,80.946613,269.115026,307.056089
1.098081,0.495285,0.236788,249.364999,242.18379,52.947829
1.197571,0.566754,4.675811,109.94945,220.454665,317.437686
-1.278408,1.542621,23.863149,239.775558,348.554906,
0.788351,0.256295,1.417615,182.975532,156.37144,175.181917
1.540065,0.662817,3.15011,281.028732,330.092263,334.659823
1.951633,0.815188,3.942521,114.199332,91.520243,344.543574
1.771465,0.479505,16.959382,37.203245,62.508908,347.967772
1.565042,0.363865,13.274903,191.512683,188.856656,354.978248
1.422938,0.298152,23.217098,348.111284,359.390514,6.157012
3.238306,0.726917,5.135947,44.485373,352.004283,354.722234
1.353639,0.296842,13.211642,317.261491,318.760773,23.104158
1.290497,0.213178,42.523597,172.889239,103.244877,4.507685
0.88167,0.750637,34.938222,214.12944,275.952894,59.654844
1.396592,0.325794,12.200767,314.981898,254.778338,22.789466
3.085343,0.70276,19.638023,39.417592,239.662915,354.766091
1.141361,0.14803,6.560814,134.635045,55.763179,34.185606
1.635792,0.398035,20.663036,158.701166,28.665349,8.522424
2.503191,0.61678,4.519002,207.353561,20.978887,354.738078
1.66062,0.40687,7.714717,15.198979,176.590228,354.112926
0.975764,0.096615,0.999491,255.079524,162.647332,94.071788
1.177363,0.239666,23.742836,239.445076,333.748737,322.050846
0.685632,0.509542,2.416921,17.316644,329.903944,135.505501
0.61755,0.599709,3.861773,2.811608,316.973309,171.055937
0.9443,0.115817,2.49886,62.290172,306.663455,105.4949
2.061406,0.593429,6.542223,52.998158,120.86369,347.831405
0.875184,0.199529,0.298825,43.21081,268.523652,119.483806
1.213631,0.193599,9.156116,331.825554,19.633981,18.918845
5.446436,0.816267,6.378369,170.032886,165.394332,0.5844
1.209266,0.544118,0.554143,73.390365,163.94082,42.497938
0.568317,0.777165,40.928132,358.59733,159.828922,187.016653
2.824555,0.690585,3.058499,48.977854,296.054875,352.813511
1.118651,0.831876,118.056187,37.36769,101.59025,36.330674
1.094885,0.558233,53.548159,62.48423,82.564327,50.832538
1.384821,0.278265,2.33889,17.570739,229.062173,350.44913
2.337941,0.616182,2.178557,224.724621,46.827851,350.919028
1.508765,0.348968,1.964611,205.177259,39.656404,348.374339
2.071902,0.645241,9.942598,71.63084,210.426274,345.228879
2.16349,0.630072,8.238023,118.754267,17.806911,12.633807
1.518631,0.384124,0.686551,39.736047,189.452937,343.016327
18.239008,0.947282,16.648738,159.132717,350.139588,0.184998
1.6054,0.523299,6.446057,109.634444,343.059611,22.581
2.035767,0.513755,28.917497,177.659923,337.780415,0.643964
-10.395412,1.060505,0.450616,286.944648,148.479115,
1.403012,0.448906,10.93793,288.071651,108.63277,29.03524
4.770932,0.930365,20.709042,111.952105,106.187092,356.367495
9.306829,0.899973,8.028062,207.418757,281.626883,359.347014
1.695071,0.556559,20.775682,109.784972,260.799977,20.15702
1.428158,0.311003,0.093046,184.119698,259.916585,357.955942
1.288967,0.257144,10.164158,328.870302,65.955053,18.139699
2.264781,0.744144,6.757531,271.853164,64.417897,12.892911
2.894177,0.724524,0.180042,302.830199,64.211741,7.304462
1.17785,0.406053,3.175266,271.15201,222.121329,314.339054
2.662284,0.657305,6.994802,218.304348,200.786248,353.659163
1.349064,0.33727,20.685177,57.297446,329.862686,330.880086
2.887376,0.660186,9.283624,155.84175,96.166425,3.801794
,,,,,
2.257927,0.618503,12.593944,127.749489,55.692317,10.811702
0.821447,0.447564,1.614766,321.414266,55.463114,260.930537
0.933774,0.497804,5.872615,127.676189,227.915465,288.789853
1.900903,0.533774,3.936832,47.407258,188.568002,346.780112
3.382164,0.7165,9.061225,19.950166,112.190119,357.660306
-0.46435,2.4185,9.750733,57.762789,108.154169,
0.850645,0.37375,4.920866,313.225133,271.481871,264.728869
0.976652,0.078879,5.622412,280.754309,255.99171,268.21687
0.769469,0.285934,1.821221,185.112978,58.731013,171.165242
0.956006,0.14372,9.36683,64.547428,199.302241,99.913811
11.555067,0.915821,1.811108,155.769637,128.026327,0.438252
2.366878,0.633421,9.753686,308.71816,306.902238,9.932944
1.59902,0.574937,17.132061,264.591193,124.296626,334.85441
1.066446,0.117156,7.196964,247.846309,40.00584,304.143546
1.714695,0.471387,1.259174,225.985963,31.194685,344.338862
1.713518,0.560746,4.089321,109.703891,326.445236,19.892276
1.785717,0.468363,8.642907,28.630315,58.774694,350.587339
1.52629,0.348536,9.217208,6.216493,26.510474,357.185458
0.884972,0.353702,3.043924,230.23814,9.701111,92.861576
0.933112,0.281717,20.199689,121.427611,347.554766,269.179895
1.677073,0.746888,20.014342,69.129005,154.244199,21.611149
1.24111,0.254239,3.429372,234.126787,153.622722,326.910135
1.044377,0.049816,28.798455,121.069067,122.607923,54.131405
0.9583,0.1095,24.764705,125.429569,234.836309,245.296118
0.949232,0.181369,1.06826,65.199181,351.884234,94.934896
0.764535,0.307431,3.322971,194.460813,135.009091,154.271809
0.810853,0.238022,3.93243,200.916885,114.568062,147.462149
2.393154,0.581136,16.832594,8.050527,350.669203,358.260423
1.028171,0.039821,1.430927,290.036283,243.47044,65.790796
0.94688,0.20543,0.798075,296.906375,16.256278,265.277342
0.966108,0.106077,7.219306,70.21708,340.340571,98.041994
2.941529,0.705065,2.530804,314.73175,152.02652,6.079509
0.999096,0.390349,16.452354,69.149984,273.913886,65.358605
1.166102,0.208952,0.8821,59.768284,340.62672,319.380817
2.552654,0.624458,1.988381,328.449179,284.561224,5.945011
2.479347,0.680434,0.432414,118.740872,25.914071,10.089227
1.219038,0.645338,17.27677,243.949825,168.076651,37.868519
1.708349,0.45148,7.702821,327.953063,115.398768,11.167033
1.181766,0.545111,14.181182,71.970378,194.833422,43.585297
1.983854,0.687726,9.310855,93.062207,161.57936,16.811149
1.568513,0.35631,1.222526,6.045547,330.624937,357.366481
1.265302,0.235256,16.877337,318.346786,275.877838,25.927331
-3.610838,1.277376,6.234856,357.782669,200.874622,
2.811706,0.770138,3.355671,102.215516,273.110514,8.759176
1.60289,0.618096,16.406228,90.31327,242.884329,23.829993
0.78585,0.257708,10.365993,3.127286,238.946268,174.870142
3.214006,0.694652,28.898498,169.329327,236.301663,1.389856
1.071854,0.071726,0.633516,6.648585,27.816397,354.359589
1.643057,0.427152,3.874093,36.338914,14.099873,346.26132
1.380227,0.338398,6.46277,307.34241,314.974497,26.344446
1.976332,0.491568,10.375586,165.235902,121.003625,4.410262
12.434355,0.926602,16.424813,141.915174,106.742316,0.58708
,,,,,
2.859154,0.759456,4.824712,255.469942,95.699935,351.079117
0.92175,0.222337,11.769162,127.362395,243.492907,255.029405
1.091748,0.092958,11.88535,161.531876,355.160541,15.298358
2.451343,0.60065,1.402122,347.353159,148.025722,2.553763
1.220755,0.195267,3.942976,353.701205,108.116763,4.177381
1.826135,0.505334,17.742065,135.805109,198.569956,13.416613
2.980627,0.687681,2.298182,145.241282,179.288714,4.90912
4.975093,0.803361,7.857072,203.335989,80.02336,358.445969
1.300698,0.230002,40.161969,350.549615,208.010232,5.769609
1.201082,0.178535,16.385205,160.899903,356.207718,13.169785
1.177586,0.267465,3.075582,114.476177,301.818542,40.017924
2.628525,0.643925,1.724483,150.812743,256.955067,5.004249
1.563531,0.651377,3.700076,81.384054,201.177637,25.203026
1.518499,0.38599,0.183875,317.05433,339.084465,18.701454
1.197867,0.158072,8.607454,19.416282,293.240436,346.002109
1.134962,0.163553,54.690194,122.03044,112.918259,43.103334
1.055851,0.067036,30.622172,170.771022,315.308204,8.055416
1.216312,0.468576,8.021574,85.566454,307.990704,41.50762
0.961417,0.344442,13.173928,293.69413,290.50814,285.8733
1.759209,0.572379,16.684927,69.242781,97.712445,341.30371
4.461608,0.794607,0.845387,147.197339,251.449632,2.389787
2.095728,0.533197,4.470886,195.275472,226.93025,356.032581
1.789793,0.532449,4.55739,299.85356,317.023194,17.771953
0.786022,0.782279,12.147741,333.368479,72.789432,289.815627
4.195914,0.760583,11.694792,8.328466,226.842803,359.263629
1.461527,0.45208,2.204261,249.529961,29.335314,332.478396
0.928042,0.583103,4.227939,49.712918,282.595844,62.630016
2.572672,0.673092,10.163076,307.332262,14.551397,8.577863
2.056032,0.612368,8.636866,295.787412,255.438473,14.479901
1.875993,0.530048,6.342971,130.130781,32.344143,14.215982
1.252501,0.712554,8.033153,57.38825,16.628361,34.449592
2.04369,0.587423,19.24405,53.234121,47.698992,347.48238
0.689582,0.507825,13.448148,199.220269,104.41688,131.15516
