(0.2686975312183273, 1640003963680.1729),
(0.2756896021195256, 1712215957984.9902),
(0.27804347183614, 1766361915291.9822),
(0.2827025344953173, 1811495715574.6555),
(0.2873581202420625, 1852118221976.5205),
(0.296637999523663, 1892761589852.9785),
(0.3059074480679666, 1919871076087.0127),
(0.3128647498448427, 1946970131583.751),
(0.3198290054465833, 1983091774842.1047),
(0.3244776373684641, 2014691693482.3535),
(0.3268002148731881, 2028236005862.0745),
(0.3291262692903447, 2046291612122.603),
(0.3314592775323657, 2073369806144.748),
(0.3337818550370899, 2086914118524.468),
(0.3361079094542465, 2104969724784.9968),
(0.3384374407838351, 2127536624926.333),
(0.3453947425607109, 2154635680423.0708),
(0.3477312277151645, 2186225168326.023),
(0.3523729058121803, 2208802499204.656),
(0.3593267306766243, 2231390260820.586),
(0.3616562620062131, 2253957160961.923),
(0.3616701696559419, 2272002336485.1543),
(0.3663257554026868, 2312624842887.0195),
(0.3686622405571405, 2344214330789.972),
(0.3709848180618644, 2357758643169.6924),
(0.3733317339536146, 2402882012715.069),
(0.3779907966127913, 2448015812997.7417),
(0.3803411894169737, 2497650476423.926),
(0.3849863444264225, 2524739101183.367),
(0.3849967751637191, 2538272982825.791),
(0.3919749384151885, 2592439801607.3765),
(0.3943218543069382, 2637563171152.753),
(0.396651385636527, 2660130071294.0894),
(0.4012965406459754, 2687218696053.531),
(0.4036260719755642, 2709785596194.867),
(0.4128920436074357, 2732383788548.0938),
(0.4221475845020102, 2741448099258.896),
(0.4290805478918607, 2736968097589.978),
(0.4383013196621137, 2700919469492.701),
(0.4452099446649384, 2664860410658.1274),
(0.4498064229003358, 2628790921086.257),
(0.454392470398437, 2579187549871.963),
(0.4589785178965377, 2529584178657.6685),
(0.4589611333343764, 2507027709253.629),
(0.4521011851056022, 2606244882419.5137),
(0.456687232603703, 2556641511205.22),
(0.4612454648023463, 2470947788944.4614),
(0.4612246033277527, 2443880025659.614),
(0.4612037418531596, 2416812262374.766),
(0.4634950271459934, 2389754929827.215),
(0.4657793586139638, 2353675009518.048),
(0.4657619740518024, 2331118540114.008),
(0.4680532593446367, 2304061207566.457),
(0.4703410677250388, 2272492581138.0977),
(0.47032716007531, 2254447405614.8657),
(0.4726045377184151, 2209344897544.083),
(0.474888869186385, 2173264977234.916),
(0.477173200654355, 2137185056925.7488),
(0.4771523391797618, 2110117293640.901),
(0.4817314328529982, 2051491334664.9907),
(0.4863174803510985, 2001887963450.6963),
(0.4862722804894797, 1943241143000.1929),
(0.4908722356373092, 1911682947309.1304),
(0.4931600440177117, 1880114320880.772),
(0.497763476077973, 1853067419070.517),
(0.502363431225803, 1821509223379.4543),
(0.5046303781316115, 1762872833666.2476),
(0.5069112326871488, 1722281619476.273),
(0.5046512396062046, 1789940596951.0957),
(0.5138059500402452, 1668177385118.467),
(0.5091990410675509, 1690712993047.9138),
(0.5160798507709181, 1618563583166.876),
(0.5206693751814511, 1573471505833.39),
(0.522953706649421, 1537391585524.223),
(0.5252310842925265, 1492289077453.44),
(0.5275049850231994, 1442675275501.849),
(0.5297754088414401, 1388550179669.45),
(0.5343684101644053, 1347969396216.7715),
(0.5366423108950791, 1298355594265.181),
(0.541210973831018, 1226195753646.8467),
(0.5481022142716823, 1167580225408.233),
(0.5458213597161445, 1208171439598.208),
(0.5526847848573504, 1113465560313.1306),
(0.5572708323554516, 1063862189098.8364),
(0.5641829342707085, 1032314424145.0706),
(0.5664603119138141, 987211916074.2876),
(0.5733585061793423, 937618975597.29),
(0.5779410767650113, 883504310502.1875),
(0.5825340780879764, 842923527049.5098),
(0.5871409870606699, 820387919120.063),
(0.5894183647037758, 775285411049.2798),
(0.6009373755917271, 721202038166.0674),
(0.596333943531465, 748248939976.3223),
(0.6101651011868436, 694175997830.4062),
(0.6170806800145336, 667139526757.4487),
