,packed_number,year,obs
135009667,40456,2007,703
135009668,40456,2007,703
135009669,40456,2007,703
135009676,40456,2007,G96
135009677,40456,2007,G96
135009678,40456,2007,G96
135009679,40456,2007,G96
135009684,40456,2007,703
135009685,40456,2007,703
135009686,40456,2007,703
135009687,40456,2007,703
135009692,40456,2008,G96
135009693,40456,2008,G96
135009694,40456,2008,G96
135009695,40456,2008,G96
135009696,40456,2008,G96
135009697,40456,2008,G96
135009698,40456,2008,G96
135009699,40456,2008,G96
135009720,40456,2008,G96
135009721,40456,2008,G96
135009722,40456,2008,G96
135009723,40456,2008,G96
135009724,40456,2008,703
135009725,40456,2008,703
135009726,40456,2008,703
135009727,40456,2008,703
135009728,40456,2008,G96
135009729,40456,2008,G96
135009730,40456,2008,G96
135009731,40456,2008,G96
135009782,40456,2010,703
135009783,40456,2010,703
135009784,40456,2010,703
135009785,40456,2010,703
135009794,40456,2010,703
135009795,40456,2010,703
135009796,40456,2010,703
135009797,40456,2010,703
135009803,40456,2010,G96
135009804,40456,2010,G96
135009805,40456,2010,G96
135009806,40456,2010,G96
135009817,40456,2010,703
135009818,40456,2010,703
135009819,40456,2010,703
135009820,40456,2010,703
135009821,40456,2010,703
135009822,40456,2010,703
135009823,40456,2010,703
135009824,40456,2010,703
135009825,40456,2010,703
135009826,40456,2010,703
135009827,40456,2010,703
135009828,40456,2010,703
135009829,40456,2010,G96
135009831,40456,2010,G96
135009832,40456,2010,G96
135009833,40456,2010,G96
135009843,40456,2010,703
135009844,40456,2010,703
135009845,40456,2010,703
135009846,40456,2010,703
135009847,40456,2010,G96
135009848,40456,2010,G96
135009849,40456,2010,G96
135009850,40456,2010,G96
135009851,40456,2010,703
135009852,40456,2010,703
135009853,40456,2010,703
135009854,40456,2010,703
135009869,40456,2010,G96
135009870,40456,2010,G96
135009871,40456,2010,G96
135009872,40456,2010,G96
135009877,40456,2011,G96
135009878,40456,2011,G96
135009879,40456,2011,G96
135009880,40456,2011,G96
135009886,40456,2011,703
135009887,40456,2011,703
135009888,40456,2011,703
135009889,40456,2011,703
135009890,40456,2011,703
135009891,40456,2011,703
135009892,40456,2011,703
135009893,40456,2011,703
135009903,40456,2011,703
135009904,40456,2011,703
135009905,40456,2011,703
135009906,40456,2011,703
135009911,40456,2011,G96
135009912,40456,2011,G96
135009913,40456,2011,G96
135009914,40456,2011,G96
135009915,40456,2011,G96
135009916,40456,2011,G96
135009917,40456,2011,G96
135009918,40456,2011,G96
135009919,40456,2011,703
135009920,40456,2011,703
135009921,40456,2011,703
135009922,40456,2011,703
135009972,40456,2012,G96
135009973,40456,2012,G96
135009974,40456,2012,G96
135009975,40456,2012,G96
135011219,40457,2005,703
135011220,40457,2005,703
135011222,40457,2005,703
135011224,40457,2005,703
135011231,40457,2005,703
135011233,40457,2005,703
135011234,40457,2005,703
135011235,40457,2005,703
135011250,40457,2005,703
135011251,40457,2005,703
135011252,40457,2005,703
135011253,40457,2005,703
135011267,40457,2005,703
