"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
"       (2012 DX)",1.435,0.3998,5.95,333.85,235.62,0.862,2.01,1.72,2,5,39,0,1,27.10,,,,,,,,,,
"       (2012 DH54)",0.9368,0.1462,3.30,161.81,131.65,0.800,1.07,0.907,14,2,36,1,1,27.50,,,,,,,,,,
"       (2012 DW60)",1.111,0.1680,4.82,353.53,237.81,0.925,1.30,1.17,2706,0,66,0,2,26.50,,,,,,,,,,
"       (2012 FM35)",1.012,0.1183,2.12,11.15,77.45,0.892,1.13,1.02,24,5,76,,,27.30,,,,,,,,,,
"       (2012 HG2)",1.189,0.1819,0.11,144.85,24.96,0.973,1.41,1.3,39,5,210,,,27.00,,,,0.0227,,,,,,
"       (2012 KT12)",1.239,0.1916,1.71,235.27,27.08,1.002,1.48,1.38,2551,0,36,,,26.80,,,,,,,,,,
"       (2012 LA)",1.04,0.0216,3.16,234.08,79.42,1.018,1.06,1.06,179,2,103,,,27.60,,,,,,,,,,
"       (2012 TC4)",1.62,0.4040,0.53,19.71,26.55,0.966,2.27,2.06,1897,0,805,7,2,26.71,,,,0.204155,,,,,,
"       (2012 TF79)",1.05,0.0382,1.01,199.86,265.69,1.010,1.09,1.08,67,3,64,,,27.38,,,,,,,,,,
"       (2013 GH66)",1.051,0.0446,3.45,198.60,36.05,1.004,1.10,1.08,27,3,46,,,28.00,,,,,,,,,,
"       (2013 GJ69)",2.218,0.5412,6.63,201.67,11.05,1.018,3.42,3.3,6,4,23,2,1,26.50,,,,,,,,,,
"       (2013 KS1)",1.475,0.3865,1.63,230.03,64.69,0.905,2.05,1.79,3294,0,121,,,26.82,,,,,,,,,,
"       (2013 KT1)",0.9228,0.1641,8.11,58.81,317.46,0.771,1.07,0.887,2,5,108,,,26.60,,,,,,,,,,
"       (2013 LE7)",1.165,0.1062,1.67,202.10,39.58,1.041,1.29,1.26,1880,0,70,,,27.50,,,,,,,,,,
"       (2013 TD)",2.313,0.5668,0.44,254.90,101.19,1.002,3.62,3.52,2569,0,61,,,26.60,,,,,,,,,,
"       (2013 TG6)",0.9387,0.1264,3.22,13.80,221.41,0.820,1.06,0.91,3666,0,121,,,26.58,,,,0.0631,,,,,,
"       (2013 UB)",0.8476,0.3148,3.22,209.37,314.55,0.581,1.11,0.78,5,3,79,2,2,26.60,,,,,,,,,,
"       (2013 VJ11)",1.507,0.4041,0.20,82.50,276.16,0.898,2.12,1.85,2,4,24,1,1,27.90,,,,,,,,,,
"       (2014 AD16)",1.402,0.3680,0.35,130.52,27.65,0.886,1.92,1.66,3,4,33,2,1,27.40,,,,,,,,,,
"       (2014 HM4)",1.099,0.5299,1.31,30.84,297.96,0.517,1.68,1.15,3,4,34,1,1,26.90,,,,,,,,,,
"       (2014 HT46)",1.282,0.2332,1.57,200.14,58.69,0.983,1.58,1.45,12,3,40,1,0,26.60,,,,,,,,,,
"       (2014 KS76)",0.9282,0.2704,1.10,62.25,51.34,0.677,1.18,0.894,473,2,45,,,26.62,,,,,,,,,,
"       (2014 QD364)",0.9857,0.0414,4.01,156.56,26.72,0.945,1.03,0.979,17,4,30,,,27.20,,,,,,,,,,
"       (2014 RC)",1.314,0.3752,4.57,344.90,71.08,0.821,1.81,1.51,18,3,247,0,2,26.80,,,,0.004389,,,,,,
"       (2014 UR)",0.991,0.0155,8.27,23.46,196.26,0.976,1.01,0.987,373,0,231,4,2,26.60,,,,0.23,,,,,,
"       (2014 US7)",0.8589,0.2729,9.86,25.59,219.30,0.624,1.09,0.796,1461,1,111,,,26.60,,,,,,,,,,
"       (2014 UV210)",1.155,0.1315,0.60,92.17,351.52,1.003,1.31,1.24,1837,0,66,2,1,26.90,,,,0.5559,,,,,,
"       (2014 WA366)",1.034,0.0715,1.56,67.11,287.62,0.960,1.11,1.05,49,4,55,,,26.90,,,,0.5,,,,,,
"       (2015 DU)",1.102,0.0874,2.75,341.73,155.60,1.005,1.20,1.16,95,3,98,0,1,26.60,,,,0.076,,,,,,
"       (2015 GA1)",1.992,0.6090,5.17,202.55,69.57,0.779,3.20,2.81,8,4,66,0,1,26.60,,,,,,,,,,
"       (2015 HD10)",2.07,0.5769,4.45,215.75,52.13,0.876,3.27,2.98,11,3,66,1,2,26.50,,,,,,,,,,
"       (2015 HS11)",1.164,0.1359,4.94,212.73,37.42,1.006,1.32,1.26,16,5,88,0,1,27.10,,,,0.0193,,,,,,
"       (2015 KK57)",1.09,0.0629,1.03,194.21,100.66,1.022,1.16,1.14,121,3,43,,,27.62,,,,,,,,,,
"       (2015 LR21)",1.908,0.5688,1.89,86.32,243.43,0.823,2.99,2.64,9,4,54,1,1,26.60,,,,,,,,,,
"       (2015 MC54)",1.117,0.0679,3.02,254.51,0.25,1.041,1.19,1.18,38,5,21,,,26.80,,,,,,,,,,
"       (2015 OQ21)",0.7894,0.3640,1.61,125.46,328.71,0.502,1.08,0.701,6,3,60,2,1,27.90,,,,,,,,,,
"       (2015 VC2)",1.053,0.0743,0.87,186.15,288.27,0.975,1.13,1.08,189,1,110,,,27.40,,,,,,,,,,
