Bolide Detection Notification: 2002-332

At 15:41:53 UT on 28 Nov 2002, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was not determined.

Based upon the visible-light intensity-time signature, peak 1.5E10 watts/steradian,
and  total radiated flash energy 4.6E10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots  below. On the intensity-time plot, one count on vertical axis corresponds to
2.35E8  watts/steradian. On the integrated intensity plot, one count represents
2.96E9 joules  radiated energy.

Peak Intensity = 1.50e+10 watts/steradian
Total Energy   = 4.67e+10 joules

Intensity=[
( 0.226, 2.87e+09),
( 0.230, 3.30e+09),
( 0.233, 3.13e+09),
( 0.236, 3.53e+09),
( 0.240, 3.97e+09),
( 0.243, 3.11e+09),
( 0.246, 2.61e+09),
( 0.250, 3.03e+09),
( 0.253, 2.75e+09),
( 0.256, 2.39e+09),
( 0.260, 1.57e+09),
( 0.263, 1.86e+09),
( 0.267, 1.44e+09),
( 0.270, 2.14e+09),
( 0.273, 2.26e+09),
( 0.277, 2.35e+09),
( 0.280, 2.12e+09),
( 0.284, 2.09e+09),
( 0.287, 2.90e+09),
( 0.290, 2.68e+09),
( 0.294, 3.12e+09),
( 0.297, 3.30e+09),
( 0.300, 2.86e+09),
( 0.304, 3.15e+09),
( 0.307, 3.30e+09),
( 0.310, 4.28e+09),
( 0.314, 6.15e+09),
( 0.317, 6.80e+09),
( 0.321, 8.28e+09),
( 0.324, 8.93e+09),
( 0.327, 9.29e+09),
( 0.331, 9.20e+09),
( 0.334, 7.52e+09),
( 0.338, 8.03e+09),
( 0.341, 8.92e+09),
( 0.344, 1.01e+10),
( 0.348, 1.07e+10),
( 0.351, 1.06e+10),
( 0.354, 1.10e+10),
( 0.358, 1.25e+10),
( 0.361, 1.28e+10),
( 0.364, 1.31e+10),
( 0.368, 1.32e+10),
( 0.371, 1.29e+10),
( 0.375, 1.42e+10),
( 0.378, 1.42e+10),
( 0.381, 1.50e+10),
( 0.385, 1.45e+10),
( 0.388, 1.33e+10),
( 0.392, 1.31e+10),
( 0.395, 1.35e+10),
( 0.398, 1.33e+10),
( 0.402, 1.27e+10),
( 0.405, 1.35e+10),
( 0.408, 1.26e+10),
( 0.412, 1.15e+10),
( 0.415, 1.03e+10),
( 0.418, 9.34e+09),
