,number,provisional_desig,year,obs
1026692,44,,2009,703
1026693,44,,2009,703
1026694,44,,2009,703
1026695,44,,2009,703
1026703,44,,2009,703
1026704,44,,2009,703
1026705,44,,2009,703
1026706,44,,2009,703
1026711,44,,2009,G96
1026712,44,,2009,G96
1026713,44,,2009,G96
1026714,44,,2009,G96
1028619,45,,2011,G96
1028620,45,,2011,G96
1028621,45,,2011,G96
1028622,45,,2011,G96
1028643,45,,2011,703
1028644,45,,2011,703
1028645,45,,2011,703
1028646,45,,2011,703
1029482,45,,2012,G96
1029483,45,,2012,G96
1029484,45,,2012,G96
1029485,45,,2012,G96
1032237,46,,2007,703
1032238,46,,2007,703
1032239,46,,2007,703
1032240,46,,2007,703
1033233,46,,2008,G96
1033234,46,,2008,G96
1033235,46,,2008,G96
1033236,46,,2008,G96
1040578,47,,2009,703
1040579,47,,2009,703
1040580,47,,2009,703
1040581,47,,2009,703
1040656,47,,2009,703
1040657,47,,2009,703
1040658,47,,2009,703
1040659,47,,2009,703
1040783,47,,2012,G96
1040784,47,,2012,G96
1040785,47,,2012,G96
1040786,47,,2012,G96
1042758,48,,2005,703
1042759,48,,2005,703
1042760,48,,2005,703
1042761,48,,2005,703
1042806,48,,2011,G96
1042807,48,,2011,G96
1042877,48,,2011,703
1042878,48,,2011,703
1042879,48,,2011,703
1042880,48,,2011,703
1044897,49,,2005,703
1044898,49,,2005,703
1044899,49,,2005,703
1044900,49,,2005,703
1045160,49,,2005,703
1045161,49,,2005,703
1045162,49,,2005,703
1045163,49,,2005,703
1045180,49,,2006,703
1045181,49,,2006,703
1045182,49,,2006,703
1045183,49,,2006,703
1046398,49,,2012,703
1046399,49,,2012,703
1046400,49,,2012,703
1046401,49,,2012,703
1046517,49,,2012,703
1046518,49,,2012,703
1046519,49,,2012,703
1046520,49,,2012,703
1046746,49,,2012,G96
1046747,49,,2012,G96
1046748,49,,2012,G96
1046749,49,,2012,G96
1046750,49,,2012,G96
1046751,49,,2012,G96
1046752,49,,2012,G96
1046753,49,,2012,G96
1046889,49,,2012,703
1046890,49,,2012,703
1046891,49,,2012,703
1046892,49,,2012,703
1047113,49,,2012,703
1047114,49,,2012,703
1047115,49,,2012,703
1047116,49,,2012,703
1047411,49,,2012,703
1047412,49,,2012,703
1047413,49,,2012,703
1047414,49,,2012,703
1047442,49,,2012,703
1047443,49,,2012,703
1047444,49,,2012,703
1047445,49,,2012,703
1048459,50,,2007,703
1048460,50,,2007,703
1048461,50,,2007,703
1048462,50,,2007,703
1048649,50,,2007,703
1048650,50,,2007,703
1048651,50,,2007,703
1048652,50,,2007,703
1049366,50,,2009,G96
1049367,50,,2009,G96
1049368,50,,2009,G96
1049369,50,,2009,G96
1050689,51,,2008,703
1050690,51,,2008,703
1050691,51,,2008,703
1050692,51,,2008,703
1050869,51,d,2008,G96
1050870,51,d,2008,G96
1050871,51,d,2008,G96
1050872,51,d,2008,G96
1051015,51,,2008,G96
1051016,51,,2008,G96
1051017,51,,2008,G96
1051018,51,,2008,G96
1051212,51,,2008,G96
1051213,51,,2008,G96
1051214,51,,2008,G96
1051215,51,,2008,G96
1051264,51,,2009,G96
1051265,51,,2009,G96
1051266,51,,2009,G96
1051267,51,,2009,G96
1052046,52,,2006,703
1052047,52,,2006,703
1052048,52,,2006,703
1052049,52,,2006,703
1052050,52,,2006,703
1052051,52,,2006,703
1052052,52,,2006,703
1054538,53,,2005,703
1054539,53,,2005,703
1054540,53,,2005,703
1054541,53,,2005,703
1054545,53,,2005,703
1054546,53,,2005,703
1054547,53,,2005,703
1054548,53,,2005,703
1057715,56,,2005,703
1057716,56,,2005,703
1057717,56,,2005,703
1057718,56,,2005,703
1057722,56,,2005,703
1057723,56,,2005,703
1057724,56,,2005,703
1057725,56,,2005,703
1057729,56,,2006,703
1057730,56,,2006,703
1057731,56,,2006,703
1057732,56,,2006,703
1057740,56,,2006,703
1057741,56,,2006,703
1057742,56,,2006,703
1057743,56,,2006,703
1060025,57,,2008,G96
1060026,57,,2008,G96
1060027,57,,2008,G96
1060028,57,,2008,G96
1060032,57,,2008,G96
1060033,57,,2008,G96
1060034,57,,2008,G96
1060035,57,,2008,G96
1060041,57,,2009,G96
1060042,57,,2009,G96
1060043,57,,2009,G96
1060044,57,,2009,G96
1060045,57,,2009,G96
1060046,57,,2009,G96
1060047,57,,2009,G96
1060048,57,,2009,G96
1060049,57,,2009,G96
1060050,57,,2009,G96
1060051,57,,2009,G96
1060052,57,,2009,G96
1060053,57,,2009,G96
1060054,57,,2009,G96
1060055,57,,2009,G96
1060056,57,,2009,G96
1062495,59,,2008,703
1062496,59,,2008,703
1062497,59,,2008,703
1062498,59,,2008,703
1062570,59,,2008,703
1062571,59,,2008,703
1062572,59,,2008,703
1062573,59,,2008,703
1062631,59,,2008,703
1062632,59,,2008,703
1062633,59,,2008,703
1062634,59,,2008,703
1062693,59,,2008,703
1062694,59,,2008,703
1062695,59,,2008,703
1062696,59,,2008,703
1063105,59,,2009,703
1063106,59,,2009,703
1063107,59,,2009,703
1063108,59,,2009,703
1063992,60,,2005,G96
1063993,60,,2005,G96
1063994,60,,2005,G96
1063995,60,,2005,G96
1064026,60,,2005,703
1064027,60,,2005,703
1064028,60,,2005,703
1064029,60,,2005,703
1064064,60,,2006,703
1064065,60,,2006,703
1064066,60,,2006,703
1064067,60,,2006,703
1064072,60,,2006,703
1064073,60,,2006,703
1064074,60,,2006,703
1064099,60,,2006,703
1064100,60,,2006,703
1064101,60,,2006,703
1064102,60,,2006,703
1064217,60,,2012,G96
1064218,60,,2012,G96
1064219,60,,2012,G96
1064220,60,,2012,G96
1064223,60,,2012,G96
1064224,60,,2012,G96
1064225,60,,2012,G96
1064226,60,,2012,G96
1064227,60,,2012,703
1064228,60,,2012,703
1064229,60,,2012,703
1064230,60,,2012,703
1065697,61,,2008,703
1065698,61,,2008,703
1065699,61,,2008,703
1065700,61,,2008,703
1065837,61,,2008,G96
1065838,61,,2008,G96
1065839,61,,2008,G96
1065894,61,,2008,703
1066048,61,,2008,703
1066049,61,,2008,703
1066050,61,,2008,703
1066051,61,,2008,703
1066134,61,,2008,703
1066135,61,,2008,703
1066136,61,,2008,703
1066137,61,,2008,703
1066250,61,,2009,703
1066252,61,,2009,703
1066253,61,,2009,703
1066255,61,,2009,703
1066290,61,,2009,703
1066291,61,,2009,703
1066292,61,,2009,703
1066293,61,,2009,703
1066306,61,,2010,G96
1066307,61,,2010,G96
1066308,61,,2010,G96
1066309,61,,2010,G96
1066310,61,,2010,G96
1066311,61,,2010,G96
1066312,61,,2010,G96
1066313,61,,2010,G96
1066314,61,,2010,G96
1066315,61,,2010,G96
1066316,61,,2010,G96
1066317,61,,2010,G96
1068906,62,,2005,703
1068907,62,,2005,703
1068908,62,,2005,703
1068909,62,,2005,703
1068987,62,,2005,703
1068988,62,,2005,703
1068989,62,,2005,703
1068990,62,,2005,703
1069108,62,,2005,703
1069109,62,,2005,703
1069110,62,,2005,703
1069164,62,,2005,703
1069165,62,,2005,703
1069166,62,,2005,703
1069167,62,,2005,703
1072160,63,,2012,703
1072161,63,,2012,703
1072162,63,,2012,703
1072163,63,,2012,703
1072206,63,,2012,703
1072207,63,,2012,703
1072208,63,,2012,703
1072209,63,,2012,703
1074221,64,,2009,703
1074222,64,,2009,703
1074223,64,,2009,703
1074224,64,,2009,703
1074242,64,,2009,703
1074243,64,,2009,703
1074244,64,,2009,703
1074245,64,,2009,703
1074252,64,,2009,G96
1074253,64,,2009,G96
1074254,64,,2009,G96
1074255,64,,2009,G96
1074264,64,,2009,G96
1074265,64,,2009,G96
1074266,64,,2009,G96
1074267,64,,2009,G96
1074268,64,,2009,G96
1074301,64,,2010,G96
1074302,64,,2010,G96
1074303,64,,2010,G96
1074304,64,,2010,G96
1079203,65,,2005,703
1079204,65,,2005,703
1079205,65,,2005,703
1079206,65,,2005,703
1079222,65,,2005,703
1079223,65,,2005,703
1079224,65,,2005,703
1079225,65,,2005,703
1079243,65,,2005,G96
1079246,65,,2005,G96
1079247,65,,2005,G96
1079249,65,,2005,G96
1079282,65,,2005,703
1079283,65,,2005,703
1079284,65,,2005,703
1079285,65,,2005,703
1079290,65,,2005,G96
1079291,65,,2005,G96
1079342,65,,2006,G96
1079343,65,,2006,G96
1079344,65,,2006,G96
1079351,65,,2006,G96
1079352,65,,2006,G96
1079353,65,,2006,G96
1079354,65,,2006,G96
1079419,65,,2007,703
1079420,65,,2007,703
1079421,65,,2007,703
1079422,65,,2007,703
1079433,65,,2007,703
1079434,65,,2007,703
1079435,65,,2007,703
1079436,65,,2007,703
1079478,65,,2007,703
1079479,65,,2007,703
1079480,65,,2007,703
1079481,65,,2007,703
1079520,65,,2008,G96
1079521,65,,2008,G96
1079522,65,,2008,G96
1079523,65,,2008,G96
1079530,65,,2008,G96
1079531,65,,2008,G96
1079532,65,,2008,G96
1079533,65,,2008,G96
1079634,65,,2008,703
1079635,65,,2008,703
1079636,65,,2008,703
1079638,65,,2008,703
1079668,65,,2008,703
1079669,65,,2008,703
1079670,65,,2008,703
1079671,65,,2008,703
1079675,65,,2008,G96
1079676,65,,2008,G96
1079677,65,,2008,G96
1079678,65,,2008,G96
1079720,65,,2008,703
1079721,65,,2008,703
1079722,65,,2008,703
1079723,65,,2008,703
1081193,65,,2010,703
1081194,65,,2010,703
1081195,65,,2010,703
1081196,65,,2010,703
1081228,65,,2010,703
1081229,65,,2010,703
1081230,65,,2010,703
1081231,65,,2010,703
1081400,65,,2011,703
1081401,65,,2011,703
1081402,65,,2011,703
1081404,65,,2011,703
1081578,65,,2011,G96
1081579,65,,2011,G96
1081580,65,,2011,G96
1081581,65,,2011,G96
1081687,65,,2012,G96
1081688,65,,2012,G96
1081689,65,,2012,G96
1081690,65,,2012,G96
1081748,65,,2012,703
1081749,65,,2012,703
1081750,65,,2012,703
1081751,65,,2012,703
1081752,65,,2012,G96
1081753,65,,2012,G96
1081754,65,,2012,G96
1081755,65,,2012,G96
1088139,67,,2010,G96
1088140,67,,2010,G96
1088146,67,,2010,G96
1088147,67,,2010,G96
1088148,67,,2010,G96
1088149,67,,2010,G96
1088150,67,,2010,G96
1099193,69,,2005,703
1099194,69,,2005,703
1099195,69,,2005,703
1099196,69,,2005,703
1099218,69,,2012,G96
1099219,69,,2012,G96
1099220,69,,2012,G96
1099221,69,,2012,G96
1099222,69,,2012,G96
1099223,69,,2012,G96
1099224,69,,2012,G96
1099225,69,,2012,G96
1099510,70,,2006,G96
1099511,70,,2006,G96
1099512,70,,2006,G96
1099513,70,,2006,G96
1099515,70,,2007,703
1099516,70,,2007,703
1099517,70,,2007,703
1099518,70,,2007,703
1099525,70,,2007,703
1099526,70,,2007,703
1099527,70,,2007,703
1099528,70,,2007,703
1099563,70,,2008,703
1099564,70,,2008,703
1099565,70,,2008,703
1099566,70,,2008,703
1099601,70,,2008,G96
1099602,70,,2008,G96
1099603,70,,2008,G96
1099604,70,,2008,G96
1099610,70,,2008,703
1099611,70,,2008,703
1099612,70,,2008,703
1099613,70,,2008,703
1099651,70,,2008,703
1099652,70,,2008,703
1099653,70,,2008,703
1099654,70,,2008,703
1099686,70,,2008,G96
1099687,70,,2008,G96
1099688,70,,2008,G96
1099689,70,,2008,G96
1099720,70,,2008,703
1099721,70,,2008,703
1099722,70,,2008,703
1099723,70,,2008,703
1099765,70,,2008,G96
1099766,70,,2008,G96
1099767,70,,2008,G96
1099768,70,,2008,G96
1101788,71,,2005,703
1101789,71,,2005,703
1101790,71,,2005,703
1101791,71,,2005,703
1101798,71,,2005,703
1101799,71,,2005,703
1101800,71,,2005,703
1101801,71,,2005,703
1101804,71,,2006,703
1101805,71,,2006,703
1101806,71,,2006,703
1101807,71,,2006,703
1101821,71,,2006,703
1101822,71,,2006,703
1101823,71,,2006,703
1101824,71,,2006,703
1101837,71,,2006,703
1101838,71,,2006,703
1101839,71,,2006,703
1102168,71,,2006,703
1102169,71,,2006,703
1102170,71,,2006,703
1102171,71,,2006,703
1102199,71,,2011,703
1102200,71,,2011,703
1102201,71,,2011,703
1102249,71,,2011,703
1102250,71,,2011,703
1102251,71,,2011,703
1102252,71,,2011,703
1102261,71,,2011,703
1102262,71,,2011,703
1102263,71,,2011,703
1102264,71,,2011,703
1102358,71,,2011,703
1102359,71,,2011,703
1102360,71,,2011,703
1102361,71,,2011,703
1102362,71,,2011,703
1102363,71,,2011,703
1102364,71,,2011,703
1102365,71,,2011,703
1102459,71,,2011,703
1102460,71,,2011,703
1102461,71,,2011,703
1102462,71,,2011,703
1102463,71,,2011,703
1102464,71,,2011,703
1102465,71,,2011,703
1102466,71,,2011,703
1102605,71,,2012,703
1102606,71,,2012,703
1102607,71,,2012,703
1102608,71,,2012,703
1102641,71,,2012,703
1102642,71,,2012,703
1102643,71,,2012,703
1102644,71,,2012,703
1102654,71,,2012,703
1102655,71,,2012,703
1102656,71,,2012,703
1102657,71,,2012,703
1102668,71,,2012,G96
1102669,71,,2012,G96
1102670,71,,2012,G96
1102671,71,,2012,G96
1102697,71,,2012,703
1102698,71,,2012,703
1102699,71,,2012,703
1102700,71,,2012,703
1102703,71,,2012,703
1102704,71,,2012,703
1104903,73,c,2005,G96
1104904,73,c,2005,G96
1104905,73,c,2005,G96
1104906,73,c,2005,G96
1104941,73,c,2005,703
1104942,73,c,2005,703
1104943,73,c,2005,703
1104944,73,c,2005,703
1104980,73,c,2005,703
1104981,73,c,2005,703
1104982,73,c,2005,703
1104983,73,c,2005,703
1105108,73,b,2006,703
1105109,73,b,2006,703
1105110,73,b,2006,703
1105111,73,b,2006,703
1105112,73,b,2006,703
1105113,73,b,2006,703
1105114,73,b,2006,703
1105115,73,b,2006,703
1105116,73,b,2006,703
1105117,73,b,2006,703
1105118,73,b,2006,703
1105119,73,b,2006,703
1105173,73,b,2006,G96
1105174,73,b,2006,G96
1105175,73,b,2006,G96
1105176,73,b,2006,G96
1105177,73,b,2006,G96
1105178,73,c,2006,G96
1105179,73,b,2006,G96
1105180,73,c,2006,G96
1105181,73,b,2006,G96
1105182,73,c,2006,G96
1105183,73,b,2006,G96
1105184,73,c,2006,G96
1105300,73,b,2006,703
1105301,73,b,2006,703
1105302,73,b,2006,703
1105303,73,b,2006,703
1105378,73,c,2006,G96
1105379,73,g,2006,G96
1105380,73,b,2006,G96
1105381,73,c,2006,G96
1105382,73,g,2006,G96
1105383,73,b,2006,G96
1105384,73,c,2006,G96
1105386,73,g,2006,G96
1105387,73,b,2006,G96
1105402,73,g,2006,G96
1105403,73,b,2006,G96
1105404,73,c,2006,G96
1105406,73,g,2006,G96
1105407,73,b,2006,G96
1105408,73,g,2006,G96
1105409,73,b,2006,G96
1105410,73,c,2006,G96
1105413,73,c,2006,G96
1105545,73,h,2006,G96
1105546,73,g,2006,G96
1105547,73,b,2006,G96
1105548,73,h,2006,G96
1105549,73,g,2006,G96
1105550,73,b,2006,G96
1105551,73,h,2006,G96
1105552,73,g,2006,G96
1105553,73,b,2006,G96
1105554,73,h,2006,G96
1105555,73,g,2006,G96
1105556,73,b,2006,G96
1105588,73,l,2006,G96
1105589,73,h,2006,G96
1105590,73,k,2006,G96
1105591,73,j,2006,G96
1105592,73,g,2006,G96
1105593,73,b,2006,G96
1105594,73,l,2006,G96
1105595,73,h,2006,G96
1105596,73,k,2006,G96
1105597,73,j,2006,G96
1105598,73,g,2006,G96
1105599,73,b,2006,G96
1105600,73,l,2006,G96
1105601,73,h,2006,G96
1105602,73,k,2006,G96
1105603,73,j,2006,G96
1105604,73,g,2006,G96
1105605,73,l,2006,G96
1105606,73,h,2006,G96
1105607,73,k,2006,G96
1105608,73,j,2006,G96
1105609,73,g,2006,G96
1105646,73,l,2006,G96
1105647,73,h,2006,G96
1105648,73,k,2006,G96
1105649,73,j,2006,G96
1105650,73,g,2006,G96
1105651,73,b,2006,G96
1105652,73,l,2006,G96
1105653,73,h,2006,G96
1105654,73,k,2006,G96
1105655,73,j,2006,G96
1105656,73,g,2006,G96
1105657,73,b,2006,G96
1105658,73,l,2006,G96
1105659,73,h,2006,G96
1105660,73,k,2006,G96
1105661,73,j,2006,G96
1105662,73,g,2006,G96
1105663,73,b,2006,G96
1105664,73,l,2006,G96
1105665,73,h,2006,G96
1105666,73,k,2006,G96
1105667,73,j,2006,G96
1105668,73,g,2006,G96
1105669,73,b,2006,G96
1106067,73,c,2006,G96
1106068,73,h,2006,G96
1106069,73,m,2006,G96
1106070,73,j,2006,G96
1106071,73,g,2006,G96
1106072,73,b,2006,G96
1106073,73,p,2006,G96
1106074,73,t,2006,G96
1106075,73,y,2006,G96
1106076,73,x,2006,G96
1106077,73,w,2006,G96
1106078,73,l,2006,G96
1106079,73,n,2006,G96
1106080,73,h,2006,G96
1106081,73,m,2006,G96
1106082,73,v,2006,G96
1106083,73,u,2006,G96
1106084,73,t,2006,G96
1106085,73,y,2006,G96
1106086,73,c,2006,G96
1106087,73,h,2006,G96
1106088,73,m,2006,G96
1106089,73,j,2006,G96
1106090,73,g,2006,G96
1106091,73,b,2006,G96
1106092,73,p,2006,G96
1106093,73,t,2006,G96
1106094,73,y,2006,G96
1106095,73,x,2006,G96
1106096,73,w,2006,G96
1106097,73,l,2006,G96
1106098,73,n,2006,G96
1106099,73,h,2006,G96
1106100,73,m,2006,G96
1106101,73,v,2006,G96
1106102,73,u,2006,G96
1106103,73,t,2006,G96
1106104,73,y,2006,G96
1106105,73,c,2006,G96
1106106,73,t,2006,G96
1106107,73,y,2006,G96
1106108,73,x,2006,G96
1106109,73,w,2006,G96
1106110,73,l,2006,G96
1106111,73,n,2006,G96
1106112,73,h,2006,G96
1106113,73,m,2006,G96
1106114,73,v,2006,G96
1106115,73,u,2006,G96
1106116,73,t,2006,G96
1106117,73,y,2006,G96
1106118,73,c,2006,G96
1106119,73,h,2006,G96
1106120,73,m,2006,G96
1106121,73,j,2006,G96
1106122,73,g,2006,G96
1106123,73,b,2006,G96
1106124,73,p,2006,G96
1106125,73,t,2006,G96
1106126,73,y,2006,G96
1106127,73,x,2006,G96
1106128,73,w,2006,G96
1106129,73,l,2006,G96
1106130,73,n,2006,G96
1106131,73,h,2006,G96
1106132,73,m,2006,G96
1106133,73,v,2006,G96
1106134,73,u,2006,G96
1106135,73,t,2006,G96
1106136,73,y,2006,G96
1106137,73,c,2006,G96
1106138,73,q,2006,G96
1106139,73,c,2006,G96
1106140,73,q,2006,G96
1106141,73,c,2006,G96
1106142,73,q,2006,G96
1106143,73,c,2006,G96
1106144,73,q,2006,G96
1106283,73,c,2006,G96
1106287,73,c,2006,G96
1106294,73,c,2006,G96
1106298,73,c,2006,G96
1106299,73,b,2006,G96
1106300,73,p,2006,G96
1106301,73,n,2006,G96
1106302,73,h,2006,G96
1106303,73,m,2006,G96
1106304,73,k,2006,G96
1106305,73,s,2006,G96
1106306,73,r,2006,G96
1106307,73,j,2006,G96
1106308,73,g,2006,G96
1106309,73,b,2006,G96
1106310,73,p,2006,G96
1106311,73,n,2006,G96
1106312,73,h,2006,G96
1106313,73,m,2006,G96
1106314,73,k,2006,G96
1106315,73,s,2006,G96
1106316,73,r,2006,G96
1106317,73,j,2006,G96
1106318,73,g,2006,G96
1106319,73,b,2006,G96
1106320,73,p,2006,G96
1106321,73,q,2006,G96
1106322,73,n,2006,G96
1106323,73,h,2006,G96
1106324,73,m,2006,G96
1106325,73,k,2006,G96
1106326,73,s,2006,G96
1106327,73,r,2006,G96
1106328,73,j,2006,G96
1106329,73,g,2006,G96
1106330,73,b,2006,G96
1106331,73,p,2006,G96
1106332,73,q,2006,G96
1106333,73,h,2006,G96
1106334,73,n,2006,G96
1106335,73,m,2006,G96
1106336,73,k,2006,G96
1106337,73,s,2006,G96
1106338,73,r,2006,G96
1106339,73,j,2006,G96
1106340,73,g,2006,G96
1106362,73,c,2006,703
1106363,73,g,2006,703
1106364,73,b,2006,703
1106365,73,c,2006,703
1106366,73,g,2006,703
1106367,73,b,2006,703
1106370,73,c,2006,703
1106371,73,g,2006,703
1106372,73,b,2006,703
1106376,73,c,2006,703
1106377,73,g,2006,703
1106378,73,b,2006,703
1106379,73,c,2006,G96
1106380,73,b,2006,G96
1106381,73,p,2006,G96
1106382,73,h,2006,G96
1106383,73,n,2006,G96
1106384,73,m,2006,G96
1106385,73,k,2006,G96
1106386,73,s,2006,G96
1106387,73,r,2006,G96
1106388,73,j,2006,G96
1106389,73,g,2006,G96
1106390,73,c,2006,G96
1106391,73,p,2006,G96
1106392,73,q,2006,G96
1106394,73,h,2006,G96
1106395,73,n,2006,G96
1106396,73,m,2006,G96
1106397,73,k,2006,G96
1106398,73,s,2006,G96
1106399,73,r,2006,G96
1106400,73,j,2006,G96
1106401,73,g,2006,G96
1106403,73,c,2006,G96
1106404,73,b,2006,G96
1106405,73,p,2006,G96
1106406,73,q,2006,G96
1106407,73,h,2006,G96
1106408,73,n,2006,G96
1106409,73,m,2006,G96
1106410,73,k,2006,G96
1106411,73,s,2006,G96
1106412,73,r,2006,G96
1106413,73,j,2006,G96
1106414,73,g,2006,G96
1106415,73,c,2006,G96
1106416,73,b,2006,G96
1106417,73,q,2006,G96
1106418,73,h,2006,G96
1106419,73,n,2006,G96
1106420,73,m,2006,G96
1106421,73,k,2006,G96
1106422,73,s,2006,G96
1106423,73,r,2006,G96
1106424,73,j,2006,G96
1106425,73,g,2006,G96
1106785,73,aa,2006,G96
1106786,73,v,2006,G96
1106787,73,u,2006,G96
1106788,73,t,2006,G96
1106789,73,y,2006,G96
1106790,73,ab,2006,G96
1106791,73,ac,2006,G96
1106792,73,ad,2006,G96
1106793,73,x,2006,G96
1106794,73,w,2006,G96
1106795,73,ae,2006,G96
1106796,73,l,2006,G96
1106797,73,h,2006,G96
1106798,73,n,2006,G96
1106799,73,m,2006,G96
1106800,73,k,2006,G96
1106801,73,r,2006,G96
1106802,73,c,2006,G96
1106803,73,af,2006,G96
1106804,73,aa,2006,G96
1106805,73,v,2006,G96
1106806,73,ag,2006,G96
1106807,73,u,2006,G96
1106808,73,t,2006,G96
1106809,73,y,2006,G96
1106810,73,ab,2006,G96
1106811,73,ac,2006,G96
1106812,73,ad,2006,G96
1106813,73,x,2006,G96
1106814,73,w,2006,G96
1106815,73,ae,2006,G96
1106816,73,l,2006,G96
1106817,73,h,2006,G96
1106818,73,n,2006,G96
1106819,73,m,2006,G96
1106820,73,k,2006,G96
1106821,73,r,2006,G96
1106822,73,c,2006,G96
1106823,73,af,2006,G96
1106824,73,aa,2006,G96
1106825,73,v,2006,G96
1106826,73,ag,2006,G96
1106827,73,u,2006,G96
1106828,73,t,2006,G96
1106829,73,y,2006,G96
1106830,73,ab,2006,G96
1106831,73,ac,2006,G96
1106832,73,ad,2006,G96
1106833,73,x,2006,G96
1106834,73,w,2006,G96
1106835,73,ae,2006,G96
1106836,73,l,2006,G96
1106837,73,h,2006,G96
1106838,73,n,2006,G96
1106839,73,m,2006,G96
1106840,73,k,2006,G96
1106841,73,r,2006,G96
1106842,73,c,2006,G96
1106843,73,af,2006,G96
1106844,73,aa,2006,G96
1106845,73,v,2006,G96
1106846,73,u,2006,G96
1106847,73,t,2006,G96
1106848,73,y,2006,G96
1106849,73,ab,2006,G96
1106850,73,ac,2006,G96
1106851,73,ad,2006,G96
1106852,73,x,2006,G96
1106853,73,w,2006,G96
1106854,73,ae,2006,G96
1106855,73,l,2006,G96
1106856,73,h,2006,G96
1106857,73,n,2006,G96
1106858,73,m,2006,G96
1106859,73,k,2006,G96
1106860,73,r,2006,G96
1106861,73,c,2006,G96
1106862,73,af,2006,G96
1106863,73,g,2006,G96
1106864,73,p,2006,G96
1106865,73,af,2006,G96
1106866,73,av,2006,G96
1106868,73,c,2006,G96
1106869,73,af,2006,G96
1106870,73,j,2006,G96
1106871,73,g,2006,G96
